(tf) This is a true or false question
This is another question
This is a question with a low rating, 2
This is a question with a high rating, 4
This is question 4\; and all questions should be shuffled
This has *bold*
This has ''Quotes'' and 'single-quotes'
(wr) Play Bangarang or not
This is question 8
This is question 9
This is question 10
This is question 11
This is question 12
This is question 13
This is question 14
This is question 15
This is question 16
This is question 17
This is question 18
This is question 19
This is question 20
This is question 21
This is question 22
This is question 23
This is question 24
This is question 25
This is question 26
NOTE: these are initial example questions, and are not intended for any release/playtest.
