Name a TV series that always puts me in the mood.,5,
___ was one of the naughtiest things I've ever done.,5,
Name a celebrity I'd give oral to without asking for anything in return.,5,
(tf) I like to fuck to rap.,5,
What animal do I moan like during sex?,5,
(tf) One time I masturbated with a musical instrument.,5,
(tf) One time I slapped my own ass way too hard and hurt myself.,5,
(tf) One time I stuck me entire fist up a butt.,5,
Do I buy flavored lube?,5,
Have I fucked for vengeance?,5,
(tf) One time I had sex where I work.,5,
Have I ever sent an ex a nude pic?,5,
(tf) One time I had sex in a tractor.,5,
What time of day am I most likely to be horny?,5,
How many Tinder (or similar app) dates have I humped?,5,
Have I fucked someone my best friend at the time had also fucked?,5,
Do I lick belly buttons?,5,
Did I orgasm this week?,5,
Name a non-sexual activity I like doing while naked.,5,
(tf) I've put a vegetable up my butt.,5,
(tf) One time I accidentally injured the person I was having sex with.,5,
Do I masturbate to help myself sleep when I'm anxious?,5,
Do I like to stick beads up my butt?,5,
Have I read Fifty Shades of Grey?,5,
Approximately how many sex toys do I own?,5,
Name 5 people (fictional or otherwise) I would invite to my orgy.,5,
(tf) Armpits turn me on.,5,
(tf) I like getting my ass slapped.,5,
(tf) One time I sent the same nude selfie to more than one person.,5,
(tf) One time I had sex in the pouring rain.,5,
Are my genitals pierced?,5,
(tf) One time I had sex on a bean bag.,5,
My preferred self stimulation position is ___.,5,
(tf) One time I had to stop fucking because of a muscle cramp.,5,
Have I ever used a sex swing?,5,
(tf) One time I fucked in tube socks and nothing else.,5,
Have I ever orgasmed outside?,5,
(tf) One time I slipped into my teacher's DMs.,5,
Have I ever fallen asleep during sex?,5,
(tf) I'm horniest in the morning.,5,
Have I ever been turned on by a machine?,5,
Have I ever had a sex dream about someone in this room?,5,
Have I ever been called 'daddy' or 'mommy' during sex?,5,
Have I ever requested a quickie via text?,5,
Am I a high functioning sex addict?,5,
(tf) One time I get spanked with a hair brush.,5,
Roughly speaking\; how often do I masturbate?,5,
(tf) I've used someone else's sex toy.,5,
Have I ever traded oral sex for a back massage?,5,
Have I ever left a handprint on someone's ass?,5,
(tf) One time I peed on someone's face.,5,
(tf) I have a paid account on a porn site.,5,
(tf) One time I got slapped in the face with a dildo.,5,
(tf) One time\; I brought someone to orgasm without removing their pants.,5,
Does ASMR get me horned up?,5,
Have I ever worn a ball gag?,5,
Have I ever fucked with a mask on?,5,
What word or phrase do I use most often to refer to sex?,5,
Have I ever done a striptease?,5,
(tf) I want to fuck sonebody with a ___ accent.,5,
Am I better with my hands or my tongue?,5,
Name the music genre I prefer fucking to.,5,
(tf) One time I masturbated to a video of myself masturbating.,5,
(tf) I've been told I have a talented tongue ,5,
Have I ever played a round of strip poker?,5,
(tf) I love the feeling of fingers between my toes.,5,
(tf) One time I had sex on a boat.,5,
(tf) One time I moaned the wrong name whilst fucking.,5,
Do I sunbathe buck naked?,5,
(tf) One time I tried to give myself oral.,5,
In a perfect world\; how many partners would I have?,5,"Shockingly poly friendly from the start (was originally ""sex partners"", maybe that phrasing was better) "
Do I sort of want to fuck a vampire?,5,
(tf) One time I fell off the bed mid-sex.,5,
(tf) One time I did it on a desk.,5,
(tf) I once used a yoga ball as a sex prop.,5,
Have I ever vomited during oral?,5,
Do I masturbate almost everyday?,5,
Would I make a good porn star?,5,
Am I a biter?,5,
(tf) One time I had sex in a Santa hat.,5,
Have I given oral while under a table.,5,
Have I ever fucked in sunglasses?,5,The imagery... 
(tf) I'm probably having sex tonight.,5,
(tf) Sex makes me have to pee.,4,
(tf) One time I fucked up and got something stuck up my butt.,4,
Have I ever edited a Wikipedia article to win an argument?,4,
(tf) I like my partner's genitals to be hairy as fuck.,4,third party personal info bad? addressed 
Do I lick buttholes?,4,
Have I ever fucked around with restaurant staff?,4,
(tf) One time I got peppermint on my genitals.,4,
(tf) One time I sat on someone's face with my bare ass.,4,
Have I ever slid into my uber driver's DMs?,4,
Am I into role play?,4,
(tf) One time I hit on my uber driver.,4,
Do I like getting scratched during sex?,4,
(tf) One time I had an anal fissure.,4,
Do I like hot piss on my face?,4,
(tf) I thoroughly wash my genitals before sex in order to make them taste nice and fresh.,4,
(tf) I'm attracted to bankers.,4,
Do I enjoy playing with scrotums?,4,
How do I clean my butthole when I run out of toilet paper?,4,
___ always makes me horny.,4,
(tf) I finish way too fast.,4,
Name a senior citizen I would fuck,4,
___ is a fetish that turns me off.,4,
(tf) One time I made a shower video.,4,
(tf) I like monogamy.,4,
Do I eat less when I know I'm going to fuck.,4,
(tf) I would absolutely fuck a drop-dead gorgeous person in a port-a-potty.,4,
Do sharks arouse me?,4,
